Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
AccessMethod		AccessMethod	Description of an access method (i.e. communication protocol) that can be used to fetch a File object (orig: DrsObject). Exact copy of the AccessMethod object of the GA4GH DRS data model (https://ga4gh.github.io/data-repository-service-schemas/preview/release/drs-1.4.0/docs/#tag/AccessMethodModel)							
					access_method		AccessMethods	1..1	Access method used to access the File object (orig: DrsObject).	https://w3id.org/fga-wg/schema/access-method/access_method
					access_url		AccessURL	1..1	AccessURL object providing URL and associated HTTP headers to access the File object (orig: DrsObject).	https://w3id.org/fga-wg/schema/access-method/access_url
					region		str	0..1	Name of the region in the cloud service provider that the object belongs to.	https://w3id.org/fga-wg/schema/access-method/region
AccessURL		AccessURL	The URL and associated HTTP headers to access the File object (orig: DrsObject). Exact copy of AccessURL object of the GA4GH DRS data model (https://ga4gh.github.io/data-repository-service-schemas/preview/release/drs-1.4.0/docs/#tag/AccessURLModel).							
					url		URI	1..1	A fully resolvable URL that can be used to fetch the actual object bytes.	https://w3id.org/fga-wg/schema/access-url/url
					headers		str	0..*	An optional list of headers to include in the HTTP request to `url`. These headers can be used to provide auth tokens required to fetch the object bytes.	https://w3id.org/fga-wg/schema/access-url/headers
Analysis		Analysis	Represents the computational processing applied to data from a sequencing experiment, or from another analysis. This can be described at the level of individual analysis steps in a workflow/pipeline, or more generally for the workflow/pipeline as a whole.							
					analysis_external_id		Curie	0..1	External, globally unique identifier for the experiment.	https://w3id.org/fga-wg/schema/analysis/analysis_external_id
				I	analysis_id		Curie	1..1	Internal identifier for the experiment (unique within the metadata deposit). 	https://w3id.org/fga-wg/schema/analysis/analysis_id
					analysis_label		str	1..1	A human-readable description of the analysis, short enough to be used for listings within software user interfaces, tables, illustration legends, etc.	https://w3id.org/fga-wg/schema/analysis/analysis_label
					analysis_description		str	0..1	Human-readable description of the analysis.	https://w3id.org/fga-wg/schema/analysis/analysis_description
					analysis_study_ref		Curie	0..1	Internal reference to the study within which the analysis has been carried out.	https://w3id.org/fga-wg/schema/analysis/analysis_study_ref
					analysis_input_sources		InputSource	1..*	External or internal references to sources for the input data analyzed. Internal references should lead to FileCollection, File, Experiment, or Analysis objects.	https://w3id.org/fga-wg/schema/analysis/analysis_input_sources
					analysis_type		Term	1..1	The type of analysis carried out.	https://w3id.org/fga-wg/schema/analysis/analysis_type
					analysis_main_tool		Any	0..1	Main software tool used for the analysis.	https://w3id.org/fga-wg/schema/analysis/analysis_main_tool
					analysis_main_tool_version		str	0..1	Version of the main software tool used for the analysis.	https://w3id.org/fga-wg/schema/analysis/analysis_main_tool_version
					analysis_protocol		URIorCURIE	0..1	Document describing the analysis protocol that was followed.	https://w3id.org/fga-wg/schema/analysis/analysis_protocol
